lon,lat,polygonID
7.3138,64.81556,364
8.3138,64.81556,365
9.3138,64.81556,366
10.29267595,64.83341489,367
11.30928418,65.1364032,368
-12.6862,63.81556,392
5.3138,63.81556,410
6.3138,63.81556,411
7.312611867,63.8166407,412
8.282515738,63.88761515,413
9.28825175,63.93043028,414
10.02064938,64.14808006,415
-8.6862,62.81556,444
-7.6862,62.81556,445
-6.6862,62.81556,446
-5.6862,62.81556,447
4.3138,62.81556,457
5.313582326,62.81578176,458
6.286019809,62.87011862,459
7.256048932,63.0228295,460
8.202072686,63.12164289,461
-8.6862,61.81556,492
-7.6862,61.81556,493
-6.6862,61.81556,494
-5.6862,61.81556,495
-1.6862,61.81556,499
-0.6862,61.81556,500
0.3138,61.81556,501
3.3138,61.81556,504
4.313289683,61.81586589,505
5.123140371,61.90068541,506
-7.6862,60.81556,541
-6.6862,60.81556,542
-5.6862,60.81556,543
-2.6862,60.81556,546
-1.712323171,60.84553374,547
-0.659884744,60.83046994,548
0.3138,60.81556,549
3.3138,60.81556,552
4.310229335,60.81424051,553
5.111922714,60.78840922,554
-6.6862,59.81556,590
-5.6862,59.81556,591
-4.6862,59.81556,592
-3.6862,59.81556,593
-2.685552502,59.81656596,594
-1.721070182,59.77661877,595
-0.682570355,59.81235754,596
0.3138,59.81556,597
4.3138,59.81556,601
5.202521363,59.83746605,602
10.53962699,59.59407209,607
-9.6862,58.81556,635
-8.6862,58.81556,636
-7.6862,58.81556,637
-6.705110136,58.84137195,638
-5.68607119,58.81597364,639
-4.688767295,58.9278836,640
-3.731583106,58.95676859,641
-2.647299849,58.81298025,642
-1.6862,58.81556,643
-0.6862,58.81556,644
4.3138,58.81556,649
5.265998326,58.80421523,650
6.00268796,59.13703434,651
8.735793996,58.36220972,653
9.430657821,58.57784218,654
10.35719876,58.7360108,655
11.02566392,58.70456735,656
-9.6862,57.81556,683
-8.6862,57.81556,684
-7.707167776,57.83119778,685
-6.73086067,57.76041669,686
-5.815500561,57.91765284,687
-3.58071573,57.90250994,689
-2.685448604,57.99864475,690
-1.639010776,57.86031272,691
-0.6862,57.81556,692
4.3138,57.81556,697
5.3138,57.81556,698
6.291929047,57.79035438,699
7.310262069,57.67620921,700
8.341822449,57.76292027,701
9.307381601,57.82187862,702
10.34348928,57.90338422,703
11.27124781,57.78170921,704
11.91750559,57.446396,705
-9.6862,56.81556,731
-8.6862,56.81556,732
-7.699572957,56.80063763,733
-6.710513545,56.80727277,734
-5.941584666,57.01072111,735
-2.450383173,56.51633335,738
-1.66951168,56.8012175,739
-0.6862,56.81556,740
6.3138,56.81556,747
7.3138,56.81556,748
8.205406407,56.895084,749
9.156083587,56.86609433,750
10.56147668,56.88776771,751
11.32826308,56.81633487,752
12.20332327,56.72269544,753
-9.6862,55.81556,779
-8.6862,55.81556,780
-7.689493221,55.81945435,781
-6.714303311,55.81432748,782
-5.898136994,55.84928313,783
-4.935789927,55.60889826,784
-3.404469601,56.02179299,785
-2.59692749,56.12187608,786
-1.607879113,55.90319592,787
-0.6862,55.81556,788
0.3138,55.81556,789
7.3138,55.81556,796
8.076420506,55.74761147,797
-10.6862,54.81556,826
-9.68608746,54.81758686,827
-8.776667701,54.8501665,828
-7.823070788,55.22588139,829
-6.746211799,55.23095457,830
-5.539980866,54.91489382,831
-4.691762763,54.56054028,832
-3.796940093,54.60818705,833
-1.324013799,55.08507944,835
-0.647129092,54.89231246,836
0.3138,54.81556,837
1.3138,54.81556,838
5.3138,54.81556,842
6.3138,54.81556,843
7.3138,54.81556,844
8.253862416,54.79743385,845
-10.68778659,53.81555794,874
-9.973898368,53.77474973,875
-8.886176096,54.2775249,876
-6.254233203,53.86888994,878
-5.643630179,53.77695035,879
-4.695456472,53.83071592,880
-3.70016265,53.8066363,881
-3.052549579,53.84506652,882
-0.27116565,54.25488267,884
0.370403907,53.8588361,885
1.3138,53.81556,886
2.3138,53.81556,887
3.3138,53.81556,888
4.3138,53.81556,889
5.309572571,53.81984592,890
6.307201681,53.86812106,891
7.270292837,53.94298188,892
8.280519635,53.97018637,893
9.101301083,53.87629153,894
-11.6862,52.81556,921
-10.6862,52.81556,922
-9.824274388,52.87977079,923
-9.077419513,53.2026586,924
-6.271099665,52.41899884,926
-5.656121056,52.80138478,927
-4.733589104,52.77313401,928
-4.13069108,52.60344528,929
0.490897358,53.08571988,933
1.399906751,53.04762128,934
2.3138,52.81556,935
3.3138,52.81556,936
4.252146233,52.84660375,937
5.11426119,53.15239339,938
-11.6862,51.81556,969
-10.71023006,51.80091981,970
-9.768278437,51.49575523,971
-8.607878152,51.49276728,972
-7.634264264,51.66272183,973
-6.672673144,51.76306188,974
-5.690029444,51.81511225,975
-4.680604365,51.50305713,976
-3.817721779,51.42448916,977
-2.96435219,51.45305434,978
1.432492039,51.69830937,982
2.3138,51.81556,983
3.278450447,51.8539151,984
4.048256636,52.12066976,985
-10.6862,50.81556,1018
-9.6862,50.81556,1019
-8.6862,50.81556,1020
-7.6862,50.81556,1021
-6.6862,50.81556,1022
-5.686377318,50.81574268,1023
-4.803970731,50.98138263,1024
-3.346599507,50.47124138,1025
-2.715989352,50.49392954,1026
-1.673336399,50.50919574,1027
-0.674917967,50.55555201,1028
0.335771497,50.57015915,1029
1.294460145,50.7766009,1030
2.250756057,51.17855457,1031
2.914811793,51.2734392,1032
-7.6862,49.81556,1069
-6.6862,49.81556,1070
-5.712947997,49.78594895,1071
-4.660646177,49.7868609,1072
-3.683675666,49.80385064,1073
-2.6862,49.81556,1074
-1.728098653,49.90392598,1075
