"Release_poly","Settlement_poly","Distance","Count"
1073,1121,85.9719355901587,10084
1073,1122,118.376066908102,150316
1073,1123,160.550453989783,12269
1074,1024,242.269122830797,92
1074,1025,82.8162926355349,618
1074,1026,74.8573118633862,43264
1074,1027,105.573367853829,69513
1074,1028,173.931458160425,10630
1074,1029,245.451458160425,909
1074,1030,314.17336785383,4
1074,1071,233.167638773617,124
1074,1072,149.363819386808,3240
1074,1073,74.6819096934042,35165
1074,1075,65.56,311420
1074,1076,149.363819386808,29908
1074,1077,214.923819386808,344
1074,1078,274.16,1
1074,1121,116.56878508102,3821
1074,1122,94.2746237267725,72801
1074,1123,110.655499135117,11804
1075,1025,126.615277547234,54
1075,1026,96.1363227499521,1445
1075,1027,67.4919355901587,20672
1075,1028,108.371458160425,197897
1075,1029,179.891458160425,104631
1075,1030,248.613367853829,8654
1075,1031,332.781006627446,255
1075,1073,140.241909693404,217
1075,1074,65.56,15279
1075,1076,83.8038193868084,473927
1075,1077,149.363819386808,53462
1075,1078,208.6,89
1075,1122,122.213649670547,728
1075,1123,105.389247453545,372
1075,982,325.248374502004,125
1075,983,369.99628417468,294
1076,1027,103.045247510929,7
1076,1028,75.7946237267725,3079
1076,1029,112.482292614806,79514
1076,1030,177.457187240638,60507
1076,1031,261.624826014255,4186
1076,1032,312.466735707659,2
1076,1074,149.363819386808,8
1076,1075,83.8038193868084,12899
1076,1077,65.56,593076
1076,1078,137.443819386808,16857
1076,1122,180.255277547234,5
1076,1123,153.051172204158,3
1076,1124,69.2473528173493,48
1076,982,259.712716490172,1152
1076,983,304.460626162848,6013
1076,984,364.400103561488,14
1077,1028,92.0498302837385,69
1077,1029,76.7319355901587,68025
1077,1030,119.391217375783,329127
1077,1031,196.064826014255,38543
1077,1032,246.906735707659,107
1077,1076,65.56,13995
1077,1078,71.8838193868084,199647
1077,1124,76.9679205903342,46
1077,935,355.128200724305,9
1077,936,388.631783466022,2
1077,982,214.761299361822,10035
1077,983,259.509209034498,47788
1077,984,304.460626162848,1606
1078,1029,74.1454882955709,13379
1078,1030,67.4919355901587,480606
1078,1031,137.295559363951,116421
1078,1032,188.137469057355,891
1078,1077,71.8838193868084,12170
1078,934,326.345054224021,2
1078,935,309.975662950969,464
1078,936,329.862516815718,454
1078,982,172.881183043704,28359
1078,983,203.765882134632,177236
1078,984,245.691359512544,17102
1120,1070,178.45479597795,324
1120,1071,132.646333589498,9406
1120,1072,105.389247453545,30463
1120,1073,134.473127069188,96452
1120,1074,195.337187240638,34357
1120,1075,260.897187240638,358
1120,1121,80.6419096934042,338001
1120,1122,158.121909693404,11189
1120,1123,214.923819386808,47
1120,1167,141.382051830165,46081
1120,1168,123.869247453545,5736
1120,1169,171.818202328939,2
1121,1024,241.310430497249,1
1121,1026,175.92667563505,33
1121,1027,222.14215293485,91
1121,1028,288.626735707659,8
1121,1071,172.809931388423,12
1121,1072,107.380649680911,16462
1121,1073,85.9719355901587,304503
1121,1074,116.56878508102,398159
1121,1075,180.255277547234,50791
1121,1076,251.411458160425,756
1121,1077,316.971458160425,1
1121,1120,80.6419096934042,10422
1121,1122,83.8038193868084,221614
1121,1123,140.605729080213,8839
1122,1025,170.069247453545,1
1122,1026,169.131935590159,128
1122,1027,184.348570271245,583
1122,1028,224.964585229613,499
1122,1029,288.990555094467,116
1122,1072,172.809931388423,6
1122,1073,118.376066908102,9960
1122,1074,94.2746237267725,92310
1122,1075,122.213649670547,106888
1122,1076,180.255277547234,4681
1122,1077,245.815277547234,145
1122,1120,158.121909693404,6
1122,1121,83.8038193868084,63527
1122,1123,56.8019096934042,186629
1123,1025,193.471791770652,5
1123,1026,181.183871180317,780
1123,1027,172.881183043704,2963
1123,1028,199.633987420323,2362
1123,1029,261.786449751391,385
1123,1072,225.864826014255,3
1123,1073,160.550453989783,1385
1123,1074,110.655499135117,192235
1123,1075,105.389247453545,431718
1123,1076,153.051172204158,30621
1123,1077,218.611172204158,584
1123,1121,140.605729080213,6511
1123,1122,56.8019096934042,410964
1124,1027,170.77963045306,2
1124,1028,140.474623726773,111
1124,1029,152.063645452884,2379
1124,1030,196.359137966118,3722
1124,1031,273.032746604589,15
1124,1074,195.337187240638,13
1124,1075,131.650694774424,11752
1124,1076,69.2473528173493,406481
1124,1077,76.9679205903342,563072
1124,1078,137.610694774424,13177
1124,1122,213.581006627446,4
1124,1123,186.37690128437,1
1124,982,291.729219952156,1
1124,983,336.477129624832,10
1167,1071,228.321183043704,1
1167,1072,236.752133816203,3
1167,1120,141.382051830165,88479
1167,1121,210.782916320851,2208
1167,1168,77.8438193868084,244686
1167,1169,162.011458160425,14268
1167,1170,237.057187240638,27
1167,1217,193.536705671354,13726
1167,1218,259.190555094467,4
1167,1265,276.288084406187,41
1168,1071,244.926559316931,13
1168,1072,229.25849490709,236
1168,1073,245.174028452399,569
1168,1074,282.764103660329,22
1168,1120,123.869247453545,161041
1168,1121,166.195318579309,31469
1168,1122,233.604484124928,79
1168,1167,77.8438193868084,69302
1168,1169,84.1676387736169,125908
1168,1170,159.213367853829,3356
1168,1217,135.219856180493,77600
1168,1218,190.714273376591,5683
1168,1265,237.561183043704,18
1168,1266,270.439712360986,2
1169,1120,171.818202328939,4673
1169,1121,206.5429121813,7
1169,1167,162.011458160425,11774
1169,1168,84.1676387736169,209302
1169,1170,75.0457290802126,84419
1169,1217,85.0346237267725,350414
1169,1218,114.04066473812,152103
1169,1219,178.45479597795,242
1169,1265,198.726559316931,830
1169,1266,210.77849490709,6333
1169,1267,247.747551043394,30
1170,1167,237.057187240638,1
1170,1168,159.213367853829,1343
1170,1169,75.0457290802126,59297
1170,1217,96.4514581604253,87854
1170,1218,64.68,699181
1170,1219,115.802544317107,26290
1170,1265,192.770464907441,419
1170,1266,178.371935590159,44720
1170,1267,194.173118633862,8672
1170,1315,303.17849490709,4
1217,1167,193.536705671354,1
1217,1168,135.219856180493,755
1217,1169,85.0346237267725,8194
1217,1170,96.4514581604253,565
1217,1218,80.6419096934042,273561
1217,1219,146.929548467021,3225
1217,1265,113.691935590159,116669
1217,1266,135.219856180493,64882
1217,1267,190.714273376591,1264
1218,1168,190.714273376591,197
1218,1169,114.04066473812,9359
1218,1170,64.68,9830
1218,1217,80.6419096934042,68423
1218,1219,66.2876387736168,74196
1218,1265,141.382051830165,22822
1218,1266,113.691935590159,329035
1218,1267,135.219856180493,64058
1218,1268,202.004002555645,13
1218,1315,238.49849490709,4860
1219,1169,178.45479597795,72
1219,1170,115.802544317107,189
1219,1217,146.929548467021,2133
1219,1218,66.2876387736168,180108
1219,1265,171.133367853829,3832
1219,1266,104.309307682379,294716
1219,1267,84.0973118633863,512936
1219,1268,143.641750816689,2822
1219,1315,194.977311863386,53089
1219,1363,309.606559316931,7
1265,1167,276.288084406187,4
1265,1217,113.691935590159,37864
1265,1218,141.382051830165,1139
1265,1266,80.6419096934042,131926
1265,1267,161.283819386808,1259
1265,1315,194.800765842805,406
1265,1360,234.178611225208,1
1265,1361,217.206559316931,3
1266,1217,135.219856180493,946
1266,1218,113.691935590159,1070
1266,1219,104.309307682379,11
1266,1265,80.6419096934042,227579
1266,1267,80.6419096934042,68461
1266,1268,150.091458160425,13
1266,1315,137.793378771488,69613
1266,1361,231.605088634213,5
1266,1362,226.446559316931,164
1266,1363,237.561183043704,152
1267,1170,194.173118633862,1
1267,1217,190.714273376591,22
1267,1218,135.219856180493,20604
1267,1219,84.0973118633863,15088
1267,1265,161.283819386808,446
1267,1266,80.6419096934042,95471
1267,1268,71.3230560008075,27706
1267,1315,112.754623726772,290175
1267,1316,111.218232443356,178
1267,1361,271.768686433139,3
1267,1362,240.026983270409,619
1267,1363,227.383871180317,1768
1268,1218,202.004002555645,75
1268,1219,143.641750816689,371
1268,1265,230.733367853829,4
1268,1266,150.091458160425,4877
1268,1267,71.3230560008075,573188
1268,1315,93.3138904551887,250722
1268,1316,41.4081463177675,497
1268,1362,234.695942285353,41
1268,1363,198.618836952642,1969
1315,1218,238.49849490709,18
1315,1219,194.977311863386,43
1315,1265,194.800765842805,24
1315,1266,137.793378771488,3545
1315,1267,112.754623726772,49165
1315,1268,93.3138904551887,132
1315,1316,119.391217375783,1196
1315,1361,201.297187240638,2680
1315,1362,141.382051830165,156560
1315,1363,114.629247453545,183945
1315,1410,182.476374543461,22
1315,1411,177.329329361471,22
1316,1218,241.899178998193,53
1316,1219,185.049897134456,379
1316,1266,184.366112001615,4113
1316,1267,111.218232443356,526549
1316,1268,41.4081463177675,292918
1316,1315,119.391217375783,215321
1316,1362,260.773269205948,36
1316,1363,224.696163873236,1611
1356,1357,86.6019096934042,89839
1356,1358,167.243819386808,32307
1356,1359,257.007638773617,1793
1356,1360,340.811458160425,161
1356,1361,427.41336785383,1
1357,1356,86.6019096934042,259583
1357,1358,86.9657290802126,81984
1357,1359,176.729548467021,38505
1357,1360,260.533367853829,12788
1357,1361,347.135277547234,3673
1357,1362,430.939096934042,416
1358,1356,167.243819386808,183108
1358,1357,86.9657290802126,176823
1358,1359,89.7638193868084,127472
1358,1360,173.567638773617,72624
1358,1361,260.169548467021,20503
1358,1362,343.97336785383,16983
1358,1363,418.655277547234,4609
1358,1410,389.946735707659,385
1358,1411,401.866735707659,212
1359,1315,352.731458160425,22
1359,1356,257.007638773617,31639
1359,1357,176.729548467021,85007
1359,1358,89.7638193868084,270172
1359,1360,83.8038193868084,184405
1359,1361,170.405729080213,85845
1359,1362,254.209548467021,30168
1359,1363,328.891458160425,22172
1359,1410,300.182916320851,768
1359,1411,312.102916320851,637
1360,1315,281.575277547234,99
1360,1356,340.811458160425,57
1360,1357,260.533367853829,461
1360,1358,173.567638773617,19740
1360,1359,83.8038193868084,168866
1360,1361,86.6019096934042,207255
1360,1362,170.405729080213,51816
1360,1363,245.087638773617,24761
1360,1410,216.379096934042,912
1360,1411,228.299096934042,696
1361,1265,217.206559316931,5
1361,1315,201.297187240638,151
1361,1357,347.135277547234,5
1361,1358,260.169548467021,8216
1361,1359,170.405729080213,109573
1361,1360,86.6019096934042,458692
1361,1362,83.8038193868084,70914
1361,1363,158.485729080213,10298
1361,1410,131.650694774424,579
1361,1411,141.697187240638,339
1362,1266,226.446559316931,3
1362,1267,240.026983270409,102
1362,1315,141.382051830165,14369
1362,1316,260.773269205948,3
1362,1358,343.97336785383,5
1362,1359,254.209548467021,1094
1362,1360,170.405729080213,66340
1362,1361,83.8038193868084,447842
1362,1363,74.6819096934042,151000
1362,1410,69.2473528173493,3683
1362,1411,74.3943979993393,2744
1363,1266,237.561183043704,207
1363,1267,227.383871180317,13021
1363,1268,198.618836952642,6
1363,1315,114.629247453545,133398
1363,1316,224.696163873236,745
1363,1360,245.087638773617,161
1363,1361,158.485729080213,18792
1363,1362,74.6819096934042,409889
1363,1410,74.1454882955709,3115
1363,1411,65.9725033631437,2744
1410,1267,290.322366087407,349
1410,1315,182.476374543461,80092
1410,1316,295.81571241837,447
1410,1358,389.946735707659,1
1410,1359,300.182916320851,596
1410,1360,216.379096934042,35409
1410,1361,131.650694774424,150105
1410,1362,69.2473528173493,310997
1410,1363,74.1454882955709,344364
1410,1411,11.92,5518
1411,1267,288.447742360635,482
1411,1315,177.329329361471,95114
1411,1316,290.66866723638,724
1411,1359,312.102916320851,222
1411,1360,228.299096934042,22817
1411,1361,141.697187240638,115552
1411,1362,74.3943979993393,310517
1411,1363,65.9725033631437,380875
1411,1410,11.92,7452
412,413,50.8419096934042,117376
412,414,101.683819386808,81491
412,415,143.767638773617,17481
412,458,149.555036762592,2709
412,459,118.376066908102,4483
412,460,84.0973118633863,5488
412,461,85.3898152265299,882
412,506,239.325656407198,395
413,412,50.8419096934042,45944
413,414,50.8419096934042,91341
413,415,92.9257290802126,35062
413,458,192.902916320851,248
413,459,156.463961523569,693
413,460,107.380649680911,1621
413,461,84.0973118633863,167
413,506,277.413551022666,10
414,412,101.683819386808,6788
414,413,50.8419096934042,16357
414,415,42.0838193868084,37732
414,458,243.744826014255,468
414,459,196.064826014255,733
414,460,145.468544296378,645
414,461,107.380649680911,60
414,506,317.014415513351,65
446,493,129.122574431524,10020
446,494,114.629247453545,25188
446,547,347.472546852023,121
458,412,149.555036762592,149133
458,413,192.902916320851,141794
458,414,243.744826014255,111837
458,415,285.828645401063,15904
458,459,47.68,68449
458,460,107.643819386808,42182
